dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
letter,instance,0.1,0.19268999999999994,0.0009903510681038216,0.9999075583229154,0.1,1.0000,letter_instance_0.1
letter,instance,0.2,0.17435499999999998,0.0011901587751439672,0.9998369567533577,0.1,1.0000,letter_instance_0.2
letter,instance,0.3,0.15625499999999998,0.0009232371303957782,0.9998778349059401,0.1,1.0000,letter_instance_0.3
letter,sym,0.0,0.22499666666666668,0.0011590447170345415,0.9999071342095194,0.1,1.0000,letter_sym_0.0
letter,sym,0.1,0.20145333333333323,0.0010921707911484468,0.9998971431464748,0.1,1.0000,letter_sym_0.1
letter,sym,0.2,0.18040166666666677,0.0009955560648742617,0.9998934265641288,0.1,1.0000,letter_sym_0.2
letter,sym,0.3,0.156305,0.0006182939704232309,0.9999452383342354,0.1,1.0000,letter_sym_0.3
letter,pair,0.0,0.22407166666666664,0.0011171305006816186,0.9999130148121924,0.1,1.0000,letter_pair_0.0
letter,pair,0.1,0.2018666666666666,0.0008077796336294965,0.9999439612922316,0.1,1.0000,letter_pair_0.1
letter,pair,0.2,0.1806500000000001,0.0009285549449087144,0.9999075414470335,0.1,1.0000,letter_pair_0.2
letter,pair,0.3,0.16056833333333326,0.0007484301913489154,0.9999239671431319,0.1,1.0000,letter_pair_0.3
mushroom,instance,0.0,0.5732223004666668,0.0019124999537002074,0.9999610417557634,0.1,1.0000,mushroom_instance_0.0
mushroom,instance,0.1,0.5079730687999999,0.0025850373837613314,0.9999093722322915,0.1,1.0000,mushroom_instance_0.1
mushroom,instance,0.2,0.4066265059333334,0.004358789300313581,0.9995980735990374,0.1,1.0000,mushroom_instance_0.2
mushroom,instance,0.3,0.2738601461333335,0.0036264951618643145,0.9993868242276167,0.1,1.0000,mushroom_instance_0.3
mushroom,sym,0.0,0.6727734464666667,0.0012443143520392498,0.9999880275569054,0.1,1.0000,mushroom_sym_0.0
mushroom,sym,0.1,0.5488660522666667,0.0014086960899581309,0.9999769455427007,0.1,1.0000,mushroom_sym_0.1
mushroom,sym,0.2,0.4116111505333333,0.0014349109908256402,0.999957467981097,0.1,1.0000,mushroom_sym_0.2
mushroom,sym,0.3,0.27012756906666674,0.0032252379844052927,0.9995014268690839,0.1,1.0000,mushroom_sym_0.3
mushroom,pair,0.0,0.6727734464666667,0.0012443143520392498,0.9999880275569054,0.1,1.0000,mushroom_pair_0.0
mushroom,pair,0.1,0.5488660522666667,0.0014086960899581309,0.9999769455427007,0.1,1.0000,mushroom_pair_0.1
mushroom,pair,0.2,0.4116111505333333,0.0014349109908256402,0.999957467981097,0.1,1.0000,mushroom_pair_0.2
mushroom,pair,0.3,0.27012756906666674,0.0032252379844052927,0.9995014268690839,0.1,1.0000,mushroom_pair_0.3
segment,instance,0.0,0.45698412700000013,0.01930653573697755,0.9938108920744295,0.1,1.0000,segment_instance_0.0
segment,instance,0.1,0.4082539681000002,0.015929152305652856,0.9947138646781339,0.1,1.0000,segment_instance_0.1
segment,instance,0.2,0.37412698429999985,0.008348562413285484,0.9982617195880238,0.1,1.0000,segment_instance_0.2
segment,instance,0.3,0.3290476192000001,0.010936595145635664,0.9961558093993106,0.1,1.0000,segment_instance_0.3
segment,sym,0.0,0.48079365090000004,0.011347078734177438,0.9980562024766865,0.1,1.0000,segment_sym_0.0
segment,sym,0.1,0.4563492063000001,0.00946092874434081,0.9984990633626999,0.1,1.0000,segment_sym_0.1
